reference_role,entity_id,entity_id_missing,pipeline_reference_records,matched_to_all_entities
immediate_project_owner,E100000003733,FALSE,858,TRUE
immediate_project_owner,E100001015277,FALSE,840,TRUE
immediate_project_owner,E100001014432,FALSE,394,TRUE
immediate_project_owner,E100001014294,FALSE,317,TRUE
immediate_project_owner,E100001014325,FALSE,304,TRUE
immediate_project_owner,E100000132388,FALSE,235,TRUE
immediate_project_owner,E100001015522,FALSE,209,TRUE
immediate_project_owner,E100000000112,FALSE,200,TRUE
immediate_project_owner,E100001015656,FALSE,180,TRUE
immediate_project_owner,E100000000505,FALSE,174,TRUE
immediate_project_owner,E100000000556,FALSE,168,TRUE
immediate_project_owner,E100001015713,FALSE,154,TRUE
immediate_project_owner,E100001015045,FALSE,146,TRUE
immediate_project_owner,E100000004373,FALSE,144,TRUE
immediate_project_owner,E100002001363,FALSE,144,TRUE
immediate_project_owner,E100001015202,FALSE,139,TRUE
immediate_project_owner,E100000001492,FALSE,138,TRUE
immediate_project_owner,E100001000322,FALSE,138,TRUE
immediate_project_owner,E100001015944,FALSE,123,TRUE
immediate_project_owner,E100000000610,FALSE,120,TRUE
immediate_project_owner,E100001016009,FALSE,120,TRUE
immediate_project_owner,E100001014282,FALSE,110,TRUE
immediate_project_owner,E100001015251,FALSE,104,TRUE
immediate_project_owner,E100001015373,FALSE,104,TRUE
immediate_project_owner,E100001014209,FALSE,102,TRUE
immediate_project_owner,E100000001179,FALSE,99,TRUE
immediate_project_owner,E100000152472,FALSE,96,TRUE
immediate_project_owner,E100001015971,FALSE,96,TRUE
immediate_project_owner,E100000001213,FALSE,92,TRUE
immediate_project_owner,E100001014393,FALSE,89,TRUE
immediate_project_owner,E100001014455,FALSE,84,TRUE
immediate_project_owner,E100001014626,FALSE,82,TRUE
immediate_project_owner,E100001014222,FALSE,78,TRUE
immediate_project_owner,E100001015268,FALSE,78,TRUE
immediate_project_owner,E100000000865,FALSE,77,TRUE
immediate_project_owner,E100001016057,FALSE,75,TRUE
immediate_project_owner,E100000000084,FALSE,72,TRUE
immediate_project_owner,E100000000874,FALSE,72,TRUE
immediate_project_owner,E100000000003,FALSE,70,TRUE
immediate_project_owner,E100000000571,FALSE,70,TRUE
immediate_project_owner,E100000001860,FALSE,66,TRUE
immediate_project_owner,E100000001079,FALSE,64,TRUE
immediate_project_owner,E100001015770,FALSE,64,TRUE
immediate_project_owner,E100002008094,FALSE,63,TRUE
immediate_project_owner,E100001011247,FALSE,61,TRUE
immediate_project_owner,E100000000136,FALSE,60,TRUE
immediate_project_owner,E100001015278,FALSE,60,TRUE
immediate_project_owner,E100001015372,FALSE,58,TRUE
immediate_project_owner,E100001015564,FALSE,58,TRUE
immediate_project_owner,E100001015356,FALSE,56,TRUE
immediate_project_owner,E100000001332,FALSE,52,TRUE
immediate_project_owner,E100001015054,FALSE,51,TRUE
immediate_project_owner,E100001015368,FALSE,51,TRUE
immediate_project_owner,E100001015108,FALSE,50,TRUE
immediate_project_owner,E100000152934,FALSE,49,TRUE
immediate_project_owner,E100001015850,FALSE,49,TRUE
immediate_project_owner,E100001014382,FALSE,48,TRUE
immediate_project_owner,E100001014623,FALSE,48,TRUE
immediate_project_owner,E100002004313,FALSE,48,TRUE
immediate_project_owner,E100002004362,FALSE,48,TRUE
immediate_project_owner,E100000000387,FALSE,46,TRUE
immediate_project_owner,E100001014283,FALSE,46,TRUE
immediate_project_owner,E100001014324,FALSE,45,TRUE
immediate_project_owner,E100001014581,FALSE,45,TRUE
immediate_project_owner,E100001015993,FALSE,44,TRUE
immediate_project_owner,E100001014526,FALSE,42,TRUE
immediate_project_owner,E100001015820,FALSE,42,TRUE
immediate_project_owner,E100001014764,FALSE,40,TRUE
