project_id,project_name,ownership_path_records,distinct_parent_entity_ids,distinct_immediate_owner_entity_ids,missing_ownership_share_records,missing_or_placeholder_capacity_records,distinct_reported_capacity_values,statuses_as_reported
P5273,Tiewu Oil Pipeline,1,1,1,1,1,0,operating
P5274,Anyan Oil Pipeline,1,1,1,1,0,1,operating
P5280,Jingma Oil Pipeline,1,1,1,1,0,1,operating
P5281,Buzurgan-Al Halfayah Oil Pipeline,1,1,1,0,0,1,operating
P5282,PS1-Fao Oil Pipeline,1,1,1,0,0,1,operating
P5283,Zb2-Fao Oil Pipeline,1,1,1,0,0,1,operating
P5284,Zb2-Tuba Oil Pipeline,1,1,1,0,1,0,construction
P5285,Zb2-PS1 Oil Pipeline,1,1,1,0,1,0,construction
P5290,Iraq Crude Oil Export Expansion Project (ICOEEP),1,1,1,0,0,1,operating
P5291,Iraq Crude Oil Export Expansion Project (ICOEEP),1,1,1,0,1,0,construction
P5292,Ahdeb–Wassit Oil Pipeline,1,1,1,0,1,0,operating
P5293,Ahdeb–Wassit Oil Pipeline,1,1,1,0,1,0,operating
P5294,Salahedin Oil Pipeline,1,1,1,0,0,1,operating
P5295,West Al-Fatah-(IT1A) Station Oil Pipelines,1,1,1,0,1,0,operating
P5296,West Al-Fatah-(IT1A) Station Oil Pipelines,1,1,1,0,1,0,operating
P5297,West Al-Fatah-(IT1A) Station Oil Pipelines,1,1,1,0,1,0,operating
P5298,West Al-Fatah-(K3) Station Oil Pipeline,1,1,1,0,1,0,operating
P5299,(IT1) Station-Al-Fatah Oil Pipeline,1,1,1,0,1,0,operating
P5300,(IT1) Station-North Refinery Company Oil Pipeline,1,1,1,0,1,0,operating
P5321,Khor Al-Amaya Oil Pipelines,1,1,1,0,1,0,mothballed
P5400,Guaduas-La Dorada Oil Pipeline,1,1,1,0,0,1,operating
P5477,Ship Shoal Oil Pipeline,1,1,1,1,0,1,operating
P6060,Yadavaran-Darquain Export Oil Pipeline,1,1,1,1,1,0,operating
P6070,Saadat Abad-Sarvestan-Shiraz Oil Pipeline,1,1,1,1,0,1,operating
P6073,Ahwaz PS-Bahregansar PS Oil Pipeline,1,1,1,1,0,1,operating
P6075,Sohrab Oil Pipeline,1,1,1,1,0,1,construction
P6083,Paradip Haldia Durgapur LPG Pipeline,1,1,1,1,0,1,operating
P6101,25 de Mayo - Medanito Oil Pipeline,1,1,1,1,1,0,operating
P6105,Borde Montuoso - La Escondida Oil Pipeline,1,1,1,1,1,0,operating
P6131,Jafurah NGL Pipeline,1,1,1,1,1,0,construction
P6141,Zb1-Tuba Oil Pipeline,1,1,1,0,1,0,operating
P6142,Khider al-Mai- Zb2 Oil Pipeline,1,1,1,1,1,0,proposed
P6144,Jabal Sanam- Zb1 Oil Pipeline,1,1,1,1,1,0,proposed
P6148,Mehraran-Shiraz Oil Pipeline,1,1,1,1,0,1,construction
P6156,East Baghdad Oil Field-Zubaidiya Oil Pipeline,1,1,1,0,1,0,construction
P6161,ZB1-Basrah terminal Oil Pipeline,1,1,1,0,1,0,operating
P6167,ZB1-Al-Umaya terminal Oil Pipeline,1,1,1,0,0,1,operating
P6168,East Baghdad-Daura Refinery Oil Pipeline,1,1,1,0,1,0,operating
P6169,Neft-Khana-Daura Refinery Oil Pipeline,1,1,1,0,1,0,operating
P6170,AL Fayha-ZB1 Oil Pipeline,1,1,1,0,0,1,operating
P6171,Majnoon- ZB1 Oil Pipeline,1,1,1,0,1,0,operating
P6172,PS1-Az Zubayr Oil Pipeline,1,1,1,0,0,1,operating
P6173,ZB1-ZB2 Oil Pipeline,1,1,1,0,0,1,operating
P6174,Nahr Bin Omar-Fao Oil Pipelines,1,1,1,0,0,1,operating
P6175,Nahr Bin Omar-Fao Oil Pipelines,1,1,1,0,0,1,operating
P6179,Al-faw-Ras Al Bishah 2 Oil Pipeline,1,1,1,0,0,1,operating
P6180,PS1-Tuba Oil Pipeline,1,1,1,0,1,0,operating
P6181,Cressier-Visp LPG Pipeline,1,1,1,1,1,0,operating
P6194,Bin Omar-Baiji K2 Oil Pipeline,1,1,1,1,0,1,operating
P6195,West Qurna 1-Az Zubayr Oil Pipeline,1,1,1,0,0,1,operating
P6196,ZB1-Fao Oil Pipeline,1,1,1,0,0,1,operating
P6197,Rumaila-Az Zubayr- Al Faw Oil Pipelines,1,1,1,0,1,0,operating
P6198,Rumaila-Az Zubayr- Al Faw Oil Pipelines,1,1,1,0,1,0,operating
P6199,Tranmere-Stanlow Oil Pipeline,1,1,1,1,1,0,operating
P6200,Panjin Port - Panjin High-Tech Industrial Park Oil Pipeline,1,1,1,1,1,0,proposed
P6251,Xianren Island-Panjin Oil Pipeline Renovation Project,1,1,1,0,0,1,construction
P6252,Gharraf–Nasiriyah Oil Pipeline,1,1,1,1,0,1,operating
P6253,Nasiriyah- PS-1 Oil Pipeline,1,1,1,0,0,1,operating
P6255,Strategic Pipline-Dhi Qar Refinery Oil Pipeline,1,1,1,0,1,0,operating
P6256,Strategic Pipeline-Daura Refinery Oil Pipeline,1,1,1,0,1,0,operating
P6257,Strategic Pipeline-Daura Refinery Oil Pipeline,1,1,1,0,1,0,operating
P6258,Strategic Pipeline-Al-Khairat Power Station Oil Pipeline,1,1,1,0,1,0,operating
P6278,Zhanjiang–Maoming Oil Pipeline,1,1,1,1,0,1,operating
P6284,Liuheng-Ningbo Oil Pipeline,1,1,1,1,0,1,proposed
P6285,Huangze Operating Area Internal Oil Pipeline,1,1,1,1,0,1,proposed
P6290,Mamu-Tianlu Oil Pipeline,1,1,1,1,0,1,operating
P6291,Liutiaoxi-Huangze Operation Area Oil Pipeline,1,1,1,1,0,1,proposed
P6292,Wanxiang Aoshan Island Oil Depot Connection Line,1,1,1,1,0,1,proposed
P6293,Liuheng Island Connection Line,1,1,1,1,0,1,proposed
P6294,Shulanghu Island - Liutiaoxi Oil Pipeline,1,1,1,1,0,1,proposed
P6297,Qimu Island Port Area - Yulong Industrial Park Oil Pipeline,1,1,1,1,1,0,proposed
P6302,Yantai–Zibo Oil Pipeline,1,1,1,1,0,1,operating
P6313,Guangrao Logistics Park Oil Pipeline,1,1,1,1,0,1,proposed
P6323,Lucheng-Changling Oil Pipeline,1,1,1,1,0,1,operating
P6324,"Qiandian-Fushun Second
Petroleum plant Crude Oil
Pipeline",1,1,1,1,1,0,operating
P6332,South Texas NGL Pipeline System,1,1,1,1,1,0,operating
P6343,PTC NGL Pipeline,1,1,1,1,1,0,operating
P6344,South Saskatchewan oil pipeline,1,1,1,1,0,1,operating
P6345,South Saskatchewan oil pipeline,1,1,1,1,0,1,operating
P6346,Kashgar-Shanshan Oil Pipeline,1,1,1,1,1,0,proposed
P6347,Nantong-Yizheng Oil Pipeline,1,1,1,1,1,0,proposed
P6348,Luoyang-Xi'an Oil Pipeline,1,1,1,1,1,0,proposed
P6352,Shanggu Natural Gas Processing Plant Ethane Transport Pipeline,1,1,1,1,0,1,operating
P6353,Daqing Petrochemical Industrial Blended Alkanes Pipeline,1,1,1,1,0,1,operating
P6354,Wushi Oilfield Group Oil Pipeline,1,1,1,0,0,1,construction
P6355,Dagang-Zhoulizhuang Oil Pipeline,1,1,1,1,0,1,operating
P6356,Nanjiang Port Area-Petrochemical Refinery Main Pipeline,1,1,1,1,1,0,operating
P6357,Dagang-Petrochemical Refinery Main Pipeline,1,1,1,1,1,0,operating
P6359,Qingha oil Pipeline,1,1,1,1,0,1,operating
P6361,Al-Shaheen Field Oil Pipelines,1,1,1,1,0,1,construction
P6363,PS3-PS1 NGL Pipeline,1,1,1,0,1,0,operating
P6364,ISO4-PS1 Oil Pipeline,1,1,1,0,1,0,operating
P6365,PS1- Halul Oil Pipelines,1,1,1,0,1,0,operating
P6366,PS1- Halul Oil Pipelines,1,1,1,0,1,0,operating
P6367,GIP-PS3 Oil Pipeline,1,1,1,0,1,0,operating
P6368,PS2-Halul  Oil Pipelines,1,1,1,0,1,0,operating
P6371,DP1-Halul Oil Pipelines,1,1,1,0,1,0,operating
P6372,DP1-Halul Oil Pipelines,1,1,1,0,1,0,operating
P6373,DP2-Halul Oil Pipeline,1,1,1,0,1,0,operating
P6374,Station R-Station F Oil Pipeline,1,1,1,0,1,0,operating
P6375,Station R-Station C Oil Pipeline,1,1,1,0,1,0,operating
P6376,Qianjiang-Jingmen Oil Pipeline,1,1,1,0,0,1,operating
P6378,Station C-Station D Oil Pipeline,1,1,1,0,1,0,operating
P6379,Station C-Station W1 Oil Pipeline,1,1,1,0,1,0,operating
P6383,Weigang-Jingmen Oil Pipeline,1,1,1,0,0,1,operating
P6387,Umm Bab Station-Mile 32 Oil Pipelines,1,1,1,0,1,0,operating
P6388,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6389,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6390,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6391,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6392,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6393,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6394,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6395,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6396,Idd El Shargi N.Dome Oil Pipelines,1,1,1,0,1,0,construction
P6400,Maoming Petrochemical Undersea Oil Pipeline,1,1,1,1,0,1,operating
P6404,Tazhong-Lunnan Oil Pipeline,1,1,1,0,0,1,operating
P6406,Hemminsgstedt-Brunsbüttel Oil Pipeline,1,1,1,1,1,0,operating
P6407,Zhuangxi Oil Pipeline,1,1,1,0,0,1,operating
P6408,Maoming Petrochemical Undersea Oil Pipeline,1,1,1,1,0,1,operating
P6411,Karamay Meili Gas Field Ethane Pipeline,1,1,1,0,1,0,operating
P6412,Shixi-Karamay Oil Pipeline,1,1,1,0,0,1,operating
P6413,Shixi-Cainan Oil Pipeline,1,1,1,0,0,1,operating
P6414,Cainan-Huoshaoshan Oil Pipeline,1,1,1,0,0,1,operating
P6415,Huoshaoshan-Beisantai Oil Pipeline,1,1,1,0,0,1,operating
P6416,Beisantai-Petrochemical Distribution Station Oil Pipeline,1,1,1,0,0,1,operating
P6417,Halahatang-Lunnan Oil Pipeline,1,1,1,0,0,1,operating
P6418,Yingmai-Yaha Condensate Pipeline,1,1,1,0,0,1,operating
P6419,Yaha-Yaha Loading Station Condensate Pipeline,1,1,1,0,0,1,operating
P6420,Dina-Yaha Loading Station Condensate Pipeline,1,1,1,0,0,1,operating
P6423,North Lines System,1,1,1,1,1,0,operating
P6424,Chisholm NGL Pipeline,1,1,1,1,1,0,operating
P6425,Zhuangxi Oil Pipeline Expansion Project,1,1,1,0,0,1,cancelled
P6426,Zhuangxi Oil Pipeline Relocation Project,1,1,1,0,0,1,proposed
P6432,OLAPA Pipeline,1,1,1,1,0,1,operating
P6438,Deep Sea No. 1 Condensate Pipeline,1,1,1,0,1,0,operating
P6458,ORSUL Pipeline,1,1,1,1,0,1,operating
P6459,OSDUC II Pipeline,1,1,1,1,0,1,operating
P6460,OPMAC Oil Pipeline,1,1,1,1,0,1,operating
P6461,Fazenda-Pocinho/Guamaré Oil Pipeline,1,1,1,1,0,1,operating
P6466,Tazhong-Lunnan Condensate Pipeline,1,1,1,0,1,0,operating
P6467,Lunnan-Yaha Condensate Pipeline,1,1,1,0,1,0,operating
P6468,OSSP Pipeline System,1,1,1,1,0,1,operating
P6469,OSSP Pipeline System,1,1,1,1,0,1,operating
P6472,North System Pipeline,1,1,1,1,0,1,operating
P6473,OSSP Pipeline System,1,1,1,1,1,0,operating
P6474,OSSP Pipeline System,1,1,1,1,1,0,operating
P6475,OSSP Pipeline System,1,1,1,1,1,0,operating
P6477,Golmud-Xining-Lanzhou Crude Oil Pipeline,1,1,1,1,1,0,proposed
P6487,Enbridge Line 74 Oil Pipeline,1,1,1,1,1,0,operating
P6489,TEPPCO Pipeline,1,1,1,1,0,1,operating
P6501,Three Rivers–Corpus Christi (ODEM) Crude Pipeline,1,1,1,1,1,0,operating
P6519,Sterling NGL Pipelines,1,1,1,1,0,1,operating
P6528,Keystone Port Neches Link,1,1,1,1,1,0,operating
P6529,Petrodar Pipeline,1,1,1,1,1,0,operating
P6530,Liberty NGL Pipeline,1,1,1,1,1,0,operating
P6546,Tharjiath-Polouch Crude Oil Pipeline,1,1,1,1,0,1,proposed
P6548,Alpha Crude Connector,1,1,1,1,1,0,operating
P6550,Bidboland Gas Refinery–Gachsaran Petrochemical Ethane Pipeline,1,1,1,1,1,0,operating
P6551,Marun Ethane Recovery Plant–Marun Petrochemical Ethane Pipeline,1,1,1,1,1,0,operating
P6552,Rabigh–Yanbu NGL Pipeline,1,1,1,1,1,0,operating
P6553,Habshan–Ruwais NGL Pipeline,1,1,1,1,1,0,construction
P6554,Genesis Pipeline System,1,1,1,1,1,0,operating
P6555,Vantage Pipeline,1,1,1,1,1,0,operating
P6556,Alberta Ethane Gathering System (AEGS),1,1,1,1,0,1,operating
P6557,Joffre Feedstock Pipeline,1,1,1,1,1,0,operating
P7193,Ras Markaz Subsea Pipelines,1,1,1,1,1,0,operating
P7194,Ras Markaz Subsea Pipelines,1,1,1,1,1,0,operating
P7195,Araucária-Cuiabá Oil Pipeline,1,1,1,1,1,0,proposed
P7196,Araucária-Cuiabá Oil Pipeline,1,1,1,1,1,0,proposed
P7197,Araucária-Cuiabá Oil Pipeline,1,1,1,1,1,0,proposed
P7198,Araucária-Cuiabá Oil Pipeline,1,1,1,1,1,0,proposed
P7199,Araucária-Cuiabá Oil Pipeline,1,1,1,1,1,0,proposed
P7207,Mereenie to Alice Springs Oil Pipeline,1,1,1,1,1,0,operating
P7208,Uberaba–Cuiabá Oil Pipeline,1,1,1,1,1,0,proposed
P7209,Uberaba–Cuiabá Oil Pipeline,1,1,1,1,1,0,proposed
P7210,Uberaba–Cuiabá Oil Pipeline,1,1,1,1,1,0,proposed
P7211,Araucária-Itajaí Oil Pipeline,1,1,1,1,1,0,proposed
P7212,Araucária-Itajaí Oil Pipeline,1,1,1,1,1,0,proposed
P7224,Bunduq-Das Island Oil Pipeline,1,1,1,1,1,0,operating
P7232,Nasr field-TABK Oil Pipeline,1,1,1,1,1,0,operating
P7245,Long Island - Altona Ethane Pipeline,1,1,1,1,1,0,operating
P7259,Longford to Long Island LPG Pipeline,1,1,1,1,1,0,operating
P7260,Wanaea/Cossack export line,1,1,1,1,1,0,operating
P7336,Xianren Island-Panjin Oil Pipeline Renovation Project,1,1,1,0,1,0,construction
P7346,White Nile Oil Pipeline,1,1,1,1,1,0,proposed
P7370,Pacific Pipeline,1,1,1,0,0,1,cancelled
P7371,Pacific Pipeline,1,1,1,0,0,1,mothballed
P7372,Pacific Pipeline,1,1,1,0,1,0,construction
P7374,Wushi Oilfield Group Oil Pipeline,1,1,1,0,0,1,construction
P7378,Plains All American Pipeline,1,1,1,1,1,0,
P7400,CNOOC Oil Depot-Dongying United Petroleum Chemical Oil Pipeline,1,1,1,1,0,1,operating
P7401,CNOOC Oil Depot-Yatong Petrochemical Oil Pipeline,1,1,1,1,0,1,operating
P7402,CNOOC Oil Depot-Tianhong Chemical Oil Pipeline,1,1,1,1,0,1,operating
P7403,CNOOC Oil Depot-Haike Ruilin Oil Pipeline,1,1,1,1,0,1,operating
P7404,Yantai–Zibo Oil Pipeline,1,1,1,1,0,1,operating
P7405,Yantai–Zibo Oil Pipeline,1,1,1,1,0,1,operating
P7406,Dongying-Wantong Oil Pipeline,1,1,1,1,0,1,construction
P7407,Guangrao-Lijin Oil Pipeline,1,1,1,1,0,1,proposed
P7408,"Guangrao West-Shouguang, Shengxing, Huaxing Oil Pipeline",1,1,1,1,0,1,proposed
P7409,"Qirun-shenchi, Kenli and Lihuayi Oil Pipeline",1,1,1,1,1,0,proposed
P7410,Qirun-shenchi-Kenli-Lihuayi Oil Pipeline,1,1,1,1,0,1,proposed
P7411,Qirun-shenchi-Kenli-Lihuayi Oil Pipeline,1,1,1,1,0,1,proposed
P7412,Qirun-shenchi-Kenli-Lihuayi Oil Pipeline,1,1,1,1,0,1,proposed
P7413,Qirun-shenchi-Kenli-Lihuayi Oil Pipeline,1,1,1,1,0,1,proposed
P7414,Huanghe North Bank Valve Station – Lihuayi Oil Pipeline,1,1,1,1,1,0,proposed
P7415,Lijin Valve Station – Lihuayi Oil Pipeline,1,1,1,1,1,0,proposed
P7416,Shengtuo Valve Station-Kenli Petrochemical Oil Pipeline,1,1,1,1,1,0,proposed
P7418,Haojia-Haike Shenchi and Kenli Oil Pipeline,1,1,1,1,1,0,proposed
P7419,"Guangrao-Zhenghe,Qicheng, Dongfang Hualong, Shangneng, Kelida and Zibo Oil Pipeline",1,1,1,1,1,0,proposed
P7420,"Guangrao West-Shangneng, Kelida, Dongfang Hualong, Zhenghe and Qicheng Oil Pipeline",1,1,1,1,1,0,proposed
P7421,Damatou-Qirun Oil Pipeline,1,1,1,1,1,0,proposed
P7422,Haisi Joint Station-United Petroleum Chemical Oil Pipeline,1,1,1,1,0,1,proposed
P7423,Shandong Port (Binzhou) Oil Pipeline,1,1,1,1,1,0,operating
